questionnaire_id,questionnaire_name,version,instrument_type,sector,subtype,section,final_item,original_item,item_id,item_text,response_type,default_scoring,allowed_scoring,validation_status,source,source_line_start,source_line_end,notes
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,11,17,AUDIT-F2015-011,El empresario dispone de la documentación adecuada (evaluación de riesgos y certificados de aptitud de los reconocimientos médicos) con posibilidad de ser puesta en todo momento a disposición de la autoridad laboral o sanitaria (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",48,50,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,12,18,AUDIT-F2015-012,El empresario dispone de un sistema para garantizar la conservación de la documentación (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",51,52,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,13,19,AUDIT-F2015-013,"Si la evaluación de riesgos pone de manifiesto la existencia de riesgos, la empresa dispone de la documentación reglamentaria, para informar a la autoridad sanitaria o laboral que lo solicite (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",53,55,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,14,20,AUDIT-F2015-014,"La empresa notifica a la autoridad laboral, con la antelación mínima exigible, la utilización por primera vez de agentes biológicos de los grupos 2, 3 o 4 (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",56,57,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,15,21,AUDIT-F2015-015,"La empresa ha realizado nuevas notificaciones, siempre que se han introducido cambios sustanciales en los procesos o procedimientos de trabajo que invaliden la notificación anterior (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",58,60,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,16,22,AUDIT-F2015-016,La empresa ha informado a las autoridades laborales y sanitarias de los accidentes o incidentes con liberación de agentes biológicos de los grupos 3 y 4 y de los daños a la salud resultantes de la exposición a los mismos en el trabajo (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",61,68,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,17,23,AUDIT-F2015-017,La empresa tiene en cuenta que debe remitir los historiales médicos y la lista de los trabajadores expuestos a agentes biológicos de los grupos 3 y 4 en caso de cese de la actividad (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",69,71,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,18,24,AUDIT-F2015-018,El empresario adopta las medidas adecuadas para que los trabajadores y sus representantes reciban formación y sean informados sobre las medidas a adoptar en relación con la exposición a agentes biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",72,74,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,19,25,AUDIT-F2015-019,"El empresario da instrucciones escritas en el lugar de trabajo y , si procede, coloca avisos que contienen como mínimo, el procedimiento que hay que seguir en caso de accidente o incidentes graves que impliquen la manipulación de un agente biológico o en caso de manipulación de un agente biológico del grupo 4 (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",75,78,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,20,26,AUDIT-F2015-020,Los trabajadores comunican inmediatamente a su superior jerárquico directo y a la persona o personas con responsabilidades en materia de prevención en la empresa (o en su caso al servicio de prevención) cualquier accidente o incidente que implique el contacto con un agente biológico (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",79,82,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,21,27,AUDIT-F2015-021,"El empresario informa a los trabajadores y a sus representantes de cualquier accidente o incidente que hubiese provocado la liberación o el contacto de un agente biológico capaz de causar una grave infección o enfermedad en el hombre o de cualquier accidente o incidente grave, de su causa y de las medidas adoptadas o que se vayan a adoptar, para remediar la situación (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",83,87,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,22,28,AUDIT-F2015-022,Los trabajadores tienen acceso a la información concerniente a ellos sobre la exposición a agentes biológicos de los grupos 3 y 4 (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",88,89,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,23,29,AUDIT-F2015-023,"Los representantes de los trabajadores, o en su defecto, los propios trabajadores tienen acceso a los resultados de la evaluación de riesgos y las medidas de prevención y protección que derivan de la misma (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",90,92,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,24,30,AUDIT-F2015-024,El empresario consulta a los trabajadores y permite su participación en el marco de todas las cuestiones que afectan a la seguridad y salud en el trabajo donde se utilicen agentes biológicos (4 puntos),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",93,95,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,25,31,AUDIT-F2015-025,"La empresa o centro de trabajo que utilizaba en el momento de la entrada en vigor del R.D. 664/1997 agentes biológicos de los grupos 2, 3 o 4 notificó a la autoridad laboral tal utilización en el plazo de 3 meses a partir de la fecha de entrada en vigor del citado R.D. (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",96,100,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,26,32,AUDIT-F2015-026,"En el caso de establecimientos sanitarios y veterinarios distintos de los laboratorios de diagnóstico, se adoptan las medidas particulares para la protección sanitaria y la seguridad de los trabajadores (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",101,103,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,27,33,AUDIT-F2015-027,"En los servicios de aislamiento en que se encuentren pacientes o animales que están o se sospeche que están contaminados por agentes biológicos de los grupos 3 y 4, se seleccionan medidas de contención adecuadas con objeto de minimizar el riesgo de infección (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",104,107,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,28,34,AUDIT-F2015-028,"Los laboratorios que emprenden trabajos que implican la manipulación de agentes biológicos de los grupos 2, 3 o 4 con fines de investigación, desarrollo, enseñanza o diagnóstico tienen establecidas medidas de contención adecuadas, a fin de reducir el riesgo de infección (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",108,111,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,29,35,AUDIT-F2015-029,"En laboratorios y procedimientos industriales cuyas actividades suponen la manipulación de un agente biológico de los grupos 2, 3 o 4 se ejecutan en zonas de trabajo que corresponden, por lo menos, al mismo nivel de contención que exige el agente biológico manipulado (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",112,115,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,30,36,AUDIT-F2015-030,"Los laboratorios que manipulan materiales con respecto a los cuales existe incertidumbre acerca de la presencia de agentes biológicos que pueden causar una enfermedad en el hombre, pero que no tiene como objetivo trabajar con ellos como tales, cultivándolos o concentrándolos adoptan al menos el nivel 2 de contención o utilizan los niveles 3 y 4 siempre que se sepa o sospeche que son necesarios, salvo cuando las líneas directrices establecidas por las autoridades sanitarias indiquen que, en algunos casos, conviene un nivel de contención menor (4 puntos).",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",116,122,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,31,37,AUDIT-F2015-031,"En los procedimientos industriales que utilizan agentes biológicos de los grupos 2, 3 o 4 se toman las medidas adecuadas, a fin de reducir el riesgo de infección (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",123,124,
audit,Auditoría del sistema de gestión del riesgo biológico,final_2015_annex1,core_questionnaire,,,Auditoría / gestión,32,38,AUDIT-F2015-032,"Las actividades relacionadas con laboratorios o procedimientos industriales donde no ha sido posible proceder a una evaluación concluyente de un agente biológico, pero de cuya utilización prevista parece que puede derivarse de un riesgo grave para la salud de los trabajadores, únicamente se realizan en locales de trabajo cuyo nivel de contención corresponde, al menos, al nivel 3 (4 puntos)",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na|audit_0_4,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",125,131,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,1,1,GENERAL-F2015-001,"¿Existe un suelo de materiales impermeables, fácil de limpiar y de desinfectar, imputrescible y dispuesto de forma tal que permita una salida fácil del agua; para evitar los olores? Dicha agua deberá encauzarse hacia sumideros trasegados con sifones y provistos de rejillas",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",149,151,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,2,2,GENERAL-F2015-002,"¿Las paredes son lisas, resistentes e impermeables, recubiertas de un revestimiento lavable? La línea de unión de las paredes y del suelo debe ser redondeada o estar dotada de un terminado similar",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",152,153,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,3,3,GENERAL-F2015-003,¿Se dispone de dispositivos adecuados de protección contra los animales indeseables tales como insectos o roedores (insectocultores y rodenticidas)?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",154,155,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,4,4,GENERAL-F2015-004,"¿Se dispone de una instalación que permita el suministro de agua potable, a presión y en cantidad suficiente? No obstante, con carácter excepcional, se autorizará una instalación que proporcione agua no potable para la producción de vapor, la lucha contra incendios y la refrigeración de equipos frigoríficos, a condición de que los conductos instalados a tal efecto no permitan la utilización de dicha agua para otros fines y no presenten ningún riesgo de contaminación. Los conductos de agua no potable deberán estar bien diferenciados de aquellos que se utilicen para el agua potable",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",156,161,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,5,5,GENERAL-F2015-005,¿Se dispone de una instalación que proporcione una cantidad suficiente de agua potable caliente para ser utilizada por los trabajadores?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",162,163,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,6,6,GENERAL-F2015-006,"¿Se dispone de un número adecuado de vestuarios dotados de paredes y de suelos lisos, impermeables y lavables, de lavabos, de duchas y de evacuatorios con agua corriente, equipados de manera que protejan de una posible contaminación las partes limpias del edificio? Dichos evacuatorios no podrán abrirse directamente sobre los locales de trabajo. Los lavabos deberán estar provistos de agua corriente caliente y fría o de agua temperada a una temperatura apropiada.",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",164,168,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,7,7,GENERAL-F2015-007,¿Hay vestuarios provistos de dobles taquillas u otro sistema que impida que la ropa de trabajo se mezcle con la ropa de calle?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",169,170,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,8,8,GENERAL-F2015-008,En los cuartos vestuarios o de aseo ¿hay duchas con servicio de agua caliente y fría? al menos 1 por cada 10 trabajadores o fracción que trabajen en la misma jornada),yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",171,172,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,9,9,GENERAL-F2015-009,¿Las duchas están aisladas en cabinas o compartimentos individuales?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",173,173,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,10,10,GENERAL-F2015-010,"¿Hay, al menos, un inodoro por cada 25 personas que trabajen en la misma jornada?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",174,174,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,11,11,GENERAL-F2015-011,¿Los retretes son con descarga automática de agua corriente y están separados en cabinas aisladas?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",175,176,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,12,12,GENERAL-F2015-012,¿Hay jabón desinfectante en lavabos y duchas?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",177,177,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,13,13,GENERAL-F2015-013,¿Los retretes están separados de los vestuarios o de las áreas de trabajo por un local o zona intermedia de paso?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",178,179,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,14,14,GENERAL-F2015-014,"¿Los retretes tienen acceso sencillo e inmediato (por ejemplo, no hay que ir a buscar una llave para poder entrar en ellos)?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",180,181,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,15,15,GENERAL-F2015-015,¿Los trabajadores tienen suficientes áreas de descanso?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",182,182,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,16,16,GENERAL-F2015-016,¿Hay una sala de primeros auxilios?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",183,183,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,17,17,GENERAL-F2015-017,"¿Se dispone de un local o dispositivo para el almacenamiento de detergentes, desinfectantes y sustancias similares?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",184,185,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,18,18,GENERAL-F2015-018,"¿Las instalaciones de oficinas, laboratorios de calidad, etc. se encuentran separados físicamente de las instalaciones donde existe el riesgo biológico?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",186,187,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los lugares de trabajo,19,19,GENERAL-F2015-019,Si se dispone de naves de ambiente controlado ¿estas cuentan con filtros para bacterias y virus a la entrada de la toma de aire?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",188,189,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los equipos de trabajo,20,20,GENERAL-F2015-020,¿Los equipos de trabajo se limpian y/o desinfectan periódicamente?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",191,191,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los equipos de trabajo,21,21,GENERAL-F2015-021,"¿Todo material que se introduce en la instalación es lavado y desinfectado previamente, disponiendo de un local específico para ello?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",192,193,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Condiciones generales de los equipos de trabajo,22,22,GENERAL-F2015-022,¿Se realiza una limpieza y desinfección general del lugar de trabajo de manera periódica?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",194,195,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Higiene del personal y limpieza de locales,23,24,GENERAL-F2015-023,"¿Existen sistemas de limpieza tipo lavabotas, lavamanos en zonas de entrada y salida a los locales?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",197,198,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Higiene del personal y limpieza de locales,24,25,GENERAL-F2015-024,¿El personal que haya estado en contacto con animales enfermos se lava inmediatamente y cuidadosamente las manos y los brazos con agua caliente y luego los desinfectan?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",199,200,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Higiene del personal y limpieza de locales,25,27,GENERAL-F2015-025,"¿Los trabajadores, dentro de la jornada laboral, tienen 10 minutos para su aseo personal antes de la comida y otros 10 minutos antes de abandonar el trabajo?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",201,207,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Higiene del personal y limpieza de locales,26,29,GENERAL-F2015-026,"En caso de que haya exposiciones accidentales a materiales de riesgo, ¿Se lava la zona con agua y jabón abundante y se declara inmediatamente el accidente o incidente?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",208,209,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Higiene del personal y limpieza de locales,27,30,GENERAL-F2015-027,¿Se evita la presencia de animales domésticos en el interior de la empresa?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",210,211,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,28,33,GENERAL-F2015-028,¿El empresario proporciona los equipos de protección y controla que son los adecuados y que se utilizan de forma adecuada?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",213,214,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,29,34,GENERAL-F2015-029,¿Los trabajadores conocen las características de las prendas y equipos de protección?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",215,215,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,30,36,GENERAL-F2015-030,¿Hay un almacén o recipientes adecuados para guardar por separado la ropa sucia de la ropa limpia?,yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",216,217,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,31,37,GENERAL-F2015-031,"¿Los equipos de protección se comprueban antes, o en todo caso después de cada uso, reparando y sustituyendo los equipos defectuosos antes de su nuevo uso?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",218,219,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,32,38,GENERAL-F2015-032,"Al salir de la zona de trabajo, ¿el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados y sucios y los guarda en un lugar que no contiene otras prendas?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",220,222,
general,Valoración general del riesgo biológico,final_2015_annex1,core_questionnaire,,,Equipos de protección y ropa de trabajo,33,39,GENERAL-F2015-033,"¿El empresario se responsabiliza del lavado, descontaminación y, en su caso, destrucción de la ropa de trabajo y de los EPI´s?",yes_no_not_applicable,binary_yes_no_na,binary_yes_no_na,validated_final,"Aguilar Elena doctoral thesis (2015), Annex 1",223,224,
