questionnaire_id,original_item,status,final_item,final_item_id,item_text_or_deleted_text,source_rule,mapping_confidence,notes
audit,16,retained_in_final_2015_annex1,10,AUDIT-F2015-010,La empresa tiene en cuenta que debe aconsejar e informar a los trabajadores sobre cualquier control médico que sea pertinente efectuar con posterioridad al cese de la exposición a los agentes biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,17,retained_in_final_2015_annex1,11,AUDIT-F2015-011,El empresario dispone de la documentación adecuada (evaluación de riesgos y certificados de aptitud de los reconocimientos médicos) con posibilidad de ser puesta en todo momento a disposición de la autoridad laboral o sanitaria (4 puntos),Retained after internal-consistency analysis,high,
audit,18,retained_in_final_2015_annex1,12,AUDIT-F2015-012,El empresario dispone de un sistema para garantizar la conservación de la documentación (4 puntos),Retained after internal-consistency analysis,high,
audit,19,retained_in_final_2015_annex1,13,AUDIT-F2015-013,"Si la evaluación de riesgos pone de manifiesto la existencia de riesgos, la empresa dispone de la documentación reglamentaria, para informar a la autoridad sanitaria o laboral que lo solicite (4 puntos)",Retained after internal-consistency analysis,high,
audit,20,retained_in_final_2015_annex1,14,AUDIT-F2015-014,"La empresa notifica a la autoridad laboral, con la antelación mínima exigible, la utilización por primera vez de agentes biológicos de los grupos 2, 3 o 4 (4 puntos)",Retained after internal-consistency analysis,high,
audit,21,retained_in_final_2015_annex1,15,AUDIT-F2015-015,"La empresa ha realizado nuevas notificaciones, siempre que se han introducido cambios sustanciales en los procesos o procedimientos de trabajo que invaliden la notificación anterior (4 puntos)",Retained after internal-consistency analysis,high,
audit,22,retained_in_final_2015_annex1,16,AUDIT-F2015-016,La empresa ha informado a las autoridades laborales y sanitarias de los accidentes o incidentes con liberación de agentes biológicos de los grupos 3 y 4 y de los daños a la salud resultantes de la exposición a los mismos en el trabajo (4 puntos),Retained after internal-consistency analysis,high,
audit,23,retained_in_final_2015_annex1,17,AUDIT-F2015-017,La empresa tiene en cuenta que debe remitir los historiales médicos y la lista de los trabajadores expuestos a agentes biológicos de los grupos 3 y 4 en caso de cese de la actividad (4 puntos),Retained after internal-consistency analysis,high,
audit,24,retained_in_final_2015_annex1,18,AUDIT-F2015-018,El empresario adopta las medidas adecuadas para que los trabajadores y sus representantes reciban formación y sean informados sobre las medidas a adoptar en relación con la exposición a agentes biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,25,retained_in_final_2015_annex1,19,AUDIT-F2015-019,"El empresario da instrucciones escritas en el lugar de trabajo y , si procede, coloca avisos que contienen como mínimo, el procedimiento que hay que seguir en caso de accidente o incidentes graves que impliquen la manipulación de un agente biológico o en caso de manipulación de un agente biológico del grupo 4 (4 puntos)",Retained after internal-consistency analysis,high,
audit,26,retained_in_final_2015_annex1,20,AUDIT-F2015-020,Los trabajadores comunican inmediatamente a su superior jerárquico directo y a la persona o personas con responsabilidades en materia de prevención en la empresa (o en su caso al servicio de prevención) cualquier accidente o incidente que implique el contacto con un agente biológico (4 puntos),Retained after internal-consistency analysis,high,
audit,27,retained_in_final_2015_annex1,21,AUDIT-F2015-021,"El empresario informa a los trabajadores y a sus representantes de cualquier accidente o incidente que hubiese provocado la liberación o el contacto de un agente biológico capaz de causar una grave infección o enfermedad en el hombre o de cualquier accidente o incidente grave, de su causa y de las medidas adoptadas o que se vayan a adoptar, para remediar la situación (4 puntos)",Retained after internal-consistency analysis,high,
audit,28,retained_in_final_2015_annex1,22,AUDIT-F2015-022,Los trabajadores tienen acceso a la información concerniente a ellos sobre la exposición a agentes biológicos de los grupos 3 y 4 (4 puntos),Retained after internal-consistency analysis,high,
audit,29,retained_in_final_2015_annex1,23,AUDIT-F2015-023,"Los representantes de los trabajadores, o en su defecto, los propios trabajadores tienen acceso a los resultados de la evaluación de riesgos y las medidas de prevención y protección que derivan de la misma (4 puntos)",Retained after internal-consistency analysis,high,
audit,30,retained_in_final_2015_annex1,24,AUDIT-F2015-024,El empresario consulta a los trabajadores y permite su participación en el marco de todas las cuestiones que afectan a la seguridad y salud en el trabajo donde se utilicen agentes biológicos (4 puntos),Retained after internal-consistency analysis,high,
audit,31,retained_in_final_2015_annex1,25,AUDIT-F2015-025,"La empresa o centro de trabajo que utilizaba en el momento de la entrada en vigor del R.D. 664/1997 agentes biológicos de los grupos 2, 3 o 4 notificó a la autoridad laboral tal utilización en el plazo de 3 meses a partir de la fecha de entrada en vigor del citado R.D. (4 puntos)",Retained after internal-consistency analysis,high,
audit,32,retained_in_final_2015_annex1,26,AUDIT-F2015-026,"En el caso de establecimientos sanitarios y veterinarios distintos de los laboratorios de diagnóstico, se adoptan las medidas particulares para la protección sanitaria y la seguridad de los trabajadores (4 puntos)",Retained after internal-consistency analysis,high,
audit,33,retained_in_final_2015_annex1,27,AUDIT-F2015-027,"En los servicios de aislamiento en que se encuentren pacientes o animales que están o se sospeche que están contaminados por agentes biológicos de los grupos 3 y 4, se seleccionan medidas de contención adecuadas con objeto de minimizar el riesgo de infección (4 puntos)",Retained after internal-consistency analysis,high,
audit,34,retained_in_final_2015_annex1,28,AUDIT-F2015-028,"Los laboratorios que emprenden trabajos que implican la manipulación de agentes biológicos de los grupos 2, 3 o 4 con fines de investigación, desarrollo, enseñanza o diagnóstico tienen establecidas medidas de contención adecuadas, a fin de reducir el riesgo de infección (4 puntos)",Retained after internal-consistency analysis,high,
audit,35,retained_in_final_2015_annex1,29,AUDIT-F2015-029,"En laboratorios y procedimientos industriales cuyas actividades suponen la manipulación de un agente biológico de los grupos 2, 3 o 4 se ejecutan en zonas de trabajo que corresponden, por lo menos, al mismo nivel de contención que exige el agente biológico manipulado (4 puntos)",Retained after internal-consistency analysis,high,
audit,36,retained_in_final_2015_annex1,30,AUDIT-F2015-030,"Los laboratorios que manipulan materiales con respecto a los cuales existe incertidumbre acerca de la presencia de agentes biológicos que pueden causar una enfermedad en el hombre, pero que no tiene como objetivo trabajar con ellos como tales, cultivándolos o concentrándolos adoptan al menos el nivel 2 de contención o utilizan los niveles 3 y 4 siempre que se sepa o sospeche que son necesarios, salvo cuando las líneas directrices establecidas por las autoridades sanitarias indiquen que, en algunos casos, conviene un nivel de contención menor (4 puntos).",Retained after internal-consistency analysis,high,
audit,37,retained_in_final_2015_annex1,31,AUDIT-F2015-031,"En los procedimientos industriales que utilizan agentes biológicos de los grupos 2, 3 o 4 se toman las medidas adecuadas, a fin de reducir el riesgo de infección (4 puntos)",Retained after internal-consistency analysis,high,
audit,38,retained_in_final_2015_annex1,32,AUDIT-F2015-032,"Las actividades relacionadas con laboratorios o procedimientos industriales donde no ha sido posible proceder a una evaluación concluyente de un agente biológico, pero de cuya utilización prevista parece que puede derivarse de un riesgo grave para la salud de los trabajadores, únicamente se realizan en locales de trabajo cuyo nivel de contención corresponde, al menos, al nivel 3 (4 puntos)",Retained after internal-consistency analysis,high,
general,1,retained_in_final_2015_annex1,1,GENERAL-F2015-001,"¿Existe un suelo de materiales impermeables, fácil de limpiar y de desinfectar, imputrescible y dispuesto de forma tal que permita una salida fácil del agua; para evitar los olores? Dicha agua deberá encauzarse hacia sumideros trasegados con sifones y provistos de rejillas",Retained after internal-consistency analysis,high,
general,2,retained_in_final_2015_annex1,2,GENERAL-F2015-002,"¿Las paredes son lisas, resistentes e impermeables, recubiertas de un revestimiento lavable? La línea de unión de las paredes y del suelo debe ser redondeada o estar dotada de un terminado similar",Retained after internal-consistency analysis,high,
general,3,retained_in_final_2015_annex1,3,GENERAL-F2015-003,¿Se dispone de dispositivos adecuados de protección contra los animales indeseables tales como insectos o roedores (insectocultores y rodenticidas)?,Retained after internal-consistency analysis,high,
general,4,retained_in_final_2015_annex1,4,GENERAL-F2015-004,"¿Se dispone de una instalación que permita el suministro de agua potable, a presión y en cantidad suficiente? No obstante, con carácter excepcional, se autorizará una instalación que proporcione agua no potable para la producción de vapor, la lucha contra incendios y la refrigeración de equipos frigoríficos, a condición de que los conductos instalados a tal efecto no permitan la utilización de dicha agua para otros fines y no presenten ningún riesgo de contaminación. Los conductos de agua no potable deberán estar bien diferenciados de aquellos que se utilicen para el agua potable",Retained after internal-consistency analysis,high,
general,5,retained_in_final_2015_annex1,5,GENERAL-F2015-005,¿Se dispone de una instalación que proporcione una cantidad suficiente de agua potable caliente para ser utilizada por los trabajadores?,Retained after internal-consistency analysis,high,
general,6,retained_in_final_2015_annex1,6,GENERAL-F2015-006,"¿Se dispone de un número adecuado de vestuarios dotados de paredes y de suelos lisos, impermeables y lavables, de lavabos, de duchas y de evacuatorios con agua corriente, equipados de manera que protejan de una posible contaminación las partes limpias del edificio? Dichos evacuatorios no podrán abrirse directamente sobre los locales de trabajo. Los lavabos deberán estar provistos de agua corriente caliente y fría o de agua temperada a una temperatura apropiada.",Retained after internal-consistency analysis,high,
general,7,retained_in_final_2015_annex1,7,GENERAL-F2015-007,¿Hay vestuarios provistos de dobles taquillas u otro sistema que impida que la ropa de trabajo se mezcle con la ropa de calle?,Retained after internal-consistency analysis,high,
general,8,retained_in_final_2015_annex1,8,GENERAL-F2015-008,En los cuartos vestuarios o de aseo ¿hay duchas con servicio de agua caliente y fría? al menos 1 por cada 10 trabajadores o fracción que trabajen en la misma jornada),Retained after internal-consistency analysis,high,
general,9,retained_in_final_2015_annex1,9,GENERAL-F2015-009,¿Las duchas están aisladas en cabinas o compartimentos individuales?,Retained after internal-consistency analysis,high,
general,10,retained_in_final_2015_annex1,10,GENERAL-F2015-010,"¿Hay, al menos, un inodoro por cada 25 personas que trabajen en la misma jornada?",Retained after internal-consistency analysis,high,
general,11,retained_in_final_2015_annex1,11,GENERAL-F2015-011,¿Los retretes son con descarga automática de agua corriente y están separados en cabinas aisladas?,Retained after internal-consistency analysis,high,
general,12,retained_in_final_2015_annex1,12,GENERAL-F2015-012,¿Hay jabón desinfectante en lavabos y duchas?,Retained after internal-consistency analysis,high,
general,13,retained_in_final_2015_annex1,13,GENERAL-F2015-013,¿Los retretes están separados de los vestuarios o de las áreas de trabajo por un local o zona intermedia de paso?,Retained after internal-consistency analysis,high,
general,14,retained_in_final_2015_annex1,14,GENERAL-F2015-014,"¿Los retretes tienen acceso sencillo e inmediato (por ejemplo, no hay que ir a buscar una llave para poder entrar en ellos)?",Retained after internal-consistency analysis,high,
general,15,retained_in_final_2015_annex1,15,GENERAL-F2015-015,¿Los trabajadores tienen suficientes áreas de descanso?,Retained after internal-consistency analysis,high,
general,16,retained_in_final_2015_annex1,16,GENERAL-F2015-016,¿Hay una sala de primeros auxilios?,Retained after internal-consistency analysis,high,
general,17,retained_in_final_2015_annex1,17,GENERAL-F2015-017,"¿Se dispone de un local o dispositivo para el almacenamiento de detergentes, desinfectantes y sustancias similares?",Retained after internal-consistency analysis,high,
general,18,retained_in_final_2015_annex1,18,GENERAL-F2015-018,"¿Las instalaciones de oficinas, laboratorios de calidad, etc. se encuentran separados físicamente de las instalaciones donde existe el riesgo biológico?",Retained after internal-consistency analysis,high,
general,19,retained_in_final_2015_annex1,19,GENERAL-F2015-019,Si se dispone de naves de ambiente controlado ¿estas cuentan con filtros para bacterias y virus a la entrada de la toma de aire?,Retained after internal-consistency analysis,high,
general,20,retained_in_final_2015_annex1,20,GENERAL-F2015-020,¿Los equipos de trabajo se limpian y/o desinfectan periódicamente?,Retained after internal-consistency analysis,high,
general,21,retained_in_final_2015_annex1,21,GENERAL-F2015-021,"¿Todo material que se introduce en la instalación es lavado y desinfectado previamente, disponiendo de un local específico para ello?",Retained after internal-consistency analysis,high,
general,22,retained_in_final_2015_annex1,22,GENERAL-F2015-022,¿Se realiza una limpieza y desinfección general del lugar de trabajo de manera periódica?,Retained after internal-consistency analysis,high,
general,23,deleted_after_internal_consistency_analysis,,,"¿Los elementos de los equipos de trabajo se encuentran en buen estado (no están oxidados, etc.)?",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,24,retained_in_final_2015_annex1,23,GENERAL-F2015-023,"¿Existen sistemas de limpieza tipo lavabotas, lavamanos en zonas de entrada y salida a los locales?",Retained after internal-consistency analysis,high,
general,25,retained_in_final_2015_annex1,24,GENERAL-F2015-024,¿El personal que haya estado en contacto con animales enfermos se lava inmediatamente y cuidadosamente las manos y los brazos con agua caliente y luego los desinfectan?,Retained after internal-consistency analysis,high,
general,26,deleted_after_internal_consistency_analysis,,,"¿Los detergentes, desinfectantes y sustancias similares se utilizan de forma que no afectan a los equipos e instrumentos de trabajo?",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,27,retained_in_final_2015_annex1,25,GENERAL-F2015-025,"¿Los trabajadores, dentro de la jornada laboral, tienen 10 minutos para su aseo personal antes de la comida y otros 10 minutos antes de abandonar el trabajo?",Retained after internal-consistency analysis,high,
general,28,deleted_after_internal_consistency_analysis,,,¿Después de su utilización se enjuagan completamente dichos equipos e instrumentos de trabajo con agua potable?,Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,29,retained_in_final_2015_annex1,26,GENERAL-F2015-026,"En caso de que haya exposiciones accidentales a materiales de riesgo, ¿Se lava la zona con agua y jabón abundante y se declara inmediatamente el accidente o incidente?",Retained after internal-consistency analysis,high,
general,30,retained_in_final_2015_annex1,27,GENERAL-F2015-027,¿Se evita la presencia de animales domésticos en el interior de la empresa?,Retained after internal-consistency analysis,high,
general,31,deleted_after_internal_consistency_analysis,,,¿Para el secado de las manos en los retretes existen toallas de papel desechables o corrientes de aire?,Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,32,deleted_after_internal_consistency_analysis,,,"¿Hay un suministro adecuado de guantes de protección, protectores auditivos, botas de goma, protectores oculares, mascarillas, etc.?",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,33,retained_in_final_2015_annex1,28,GENERAL-F2015-028,¿El empresario proporciona los equipos de protección y controla que son los adecuados y que se utilizan de forma adecuada?,Retained after internal-consistency analysis,high,
general,34,retained_in_final_2015_annex1,29,GENERAL-F2015-029,¿Los trabajadores conocen las características de las prendas y equipos de protección?,Retained after internal-consistency analysis,high,
general,35,deleted_after_internal_consistency_analysis,,,¿Los equipos de protección individual poseen el marcado CE? / ¿Los trabajadores usan las prendas y los equipos de protección personal? (the thesis deletion prose presents these together; item-level historical wording requires source caution),Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,moderate,General item 35 historical wording is grouped with another PPE question in the thesis deletion prose.
general,36,retained_in_final_2015_annex1,30,GENERAL-F2015-030,¿Hay un almacén o recipientes adecuados para guardar por separado la ropa sucia de la ropa limpia?,Retained after internal-consistency analysis,high,
general,37,retained_in_final_2015_annex1,31,GENERAL-F2015-031,"¿Los equipos de protección se comprueban antes, o en todo caso después de cada uso, reparando y sustituyendo los equipos defectuosos antes de su nuevo uso?",Retained after internal-consistency analysis,high,
general,38,retained_in_final_2015_annex1,32,GENERAL-F2015-032,"Al salir de la zona de trabajo, ¿el trabajador se quita las ropas de trabajo y los equipos de protección individual potencialmente contaminados y sucios y los guarda en un lugar que no contiene otras prendas?",Retained after internal-consistency analysis,high,
general,39,retained_in_final_2015_annex1,33,GENERAL-F2015-033,"¿El empresario se responsabiliza del lavado, descontaminación y, en su caso, destrucción de la ropa de trabajo y de los EPI´s?",Retained after internal-consistency analysis,high,
general,40,retained_in_final_2015_annex1,34,GENERAL-F2015-034,"¿El empresario prohíbe, de manera rigurosa, que los trabajadores se lleven la ropa de trabajo y los EPI´s a su domicilio?",Retained after internal-consistency analysis,high,
general,41,deleted_after_internal_consistency_analysis,,,"Si el empresario contrata las operaciones de lavado, descontaminación y destrucción de la ropa de trabajo y EPI, ¿se asegura que los mismos se envíen en recipientes cerrados y etiquetados con las advertencias precisas?",Negative/zero corrected item-total correlation; removed before final Annex 1 instrument,high,
general,42,retained_in_final_2015_annex1,35,GENERAL-F2015-035,¿Los trabajadores disponen de un carnet de vacunación que certifica que han recibido una dosis determinada de las vacunas? Las vacunas más aconsejables son la antitetánica y gripe común.,Retained after internal-consistency analysis,high,
general,43,retained_in_final_2015_annex1,36,GENERAL-F2015-036,"¿Los trabajadores son informados sobre los beneficios, ventajas e inconvenientes tanto de la vacunación como de la no vacunación?",Retained after internal-consistency analysis,high,
general,44,retained_in_final_2015_annex1,37,GENERAL-F2015-037,Si se dispone de los carnets de vacunación ¿aparecen las fechas de próximas vacunaciones?,Retained after internal-consistency analysis,high,
general,45,retained_in_final_2015_annex1,38,GENERAL-F2015-038,"¿El trabajador conoce el grado de peligrosidad de los contaminantes biológicos que ""están"" o ""pueden estar"" presentes en el lugar de trabajo?",Retained after internal-consistency analysis,high,
general,46,retained_in_final_2015_annex1,39,GENERAL-F2015-039,"¿El empresario informa a todos los trabajadores expuestos de sus responsabilidades, para permitirles desarrollar sus tareas y prevenir riesgos?",Retained after internal-consistency analysis,high,
general,47,retained_in_final_2015_annex1,40,GENERAL-F2015-040,¿Se planifican acciones formativas a todos los niveles para prevenir los riesgos a los que están expuestos los trabajadores?,Retained after internal-consistency analysis,high,
general,48,retained_in_final_2015_annex1,41,GENERAL-F2015-041,¿La señal de peligro biológico está colocada en aquellos lugares o recipientes donde al entrar o el material depositado puede dar lugar a una enfermedad infecciosa?,Retained after internal-consistency analysis,high,
general,49,retained_in_final_2015_annex1,42,GENERAL-F2015-042,"¿Los trabajadores se lavan las manos y la piel expuesta antes de comer, beber, fumar, usar el teléfono o ir al lavabo?",Retained after internal-consistency analysis,high,
general,50,retained_in_final_2015_annex1,43,GENERAL-F2015-043,¿Está prohibido almacenar alimentos u otros productos de consumo humano en los locales de trabajo?,Retained after internal-consistency analysis,high,
general,51,retained_in_final_2015_annex1,44,GENERAL-F2015-044,"¿Hay un protocolo definido de primeros auxilios y se dispone de medios para llevarlo a cabo? Es imprescindible que los trabajadores conozcan el protocolo de actuación de primeros auxilios en casos de accidentes o incidentes que puedan causar exposición a agentes biológicos (contacto con animales susceptibles de estar infectados, cortes, heridas,…)",Retained after internal-consistency analysis,high,
general,52,retained_in_final_2015_annex1,45,GENERAL-F2015-045,"¿Cuándo tienen alguna herida, los trabajadores, se la cubren con material impermeable, antes de empezar la jornada laboral?",Retained after internal-consistency analysis,high,
general,53,retained_in_final_2015_annex1,46,GENERAL-F2015-046,¿Hay y se cumple un programa de gestión de todos los residuos generados en el lugar de trabajo?,Retained after internal-consistency analysis,high,
general,54,retained_in_final_2015_annex1,47,GENERAL-F2015-047,¿La higiene de locales se asegura mediante un procedimiento establecido de limpieza?,Retained after internal-consistency analysis,high,
general,55,retained_in_final_2015_annex1,48,GENERAL-F2015-048,¿Se usan mangueras de alta presión para limpiar las áreas que puedan estar contaminadas con materiales de riesgo y considerar los líquidos de esta limpieza como materiales de riesgo?,Retained after internal-consistency analysis,high,
workers,1,retained_in_final_2015_annex1,1,WORKERS-F2015-001,"¿La empresa prohíbe comer, beber o fumar mientras se realizan los trabajos?",Retained after internal-consistency analysis,high,
workers,2,retained_in_final_2015_annex1,2,WORKERS-F2015-002,"¿Usted se lava las manos antes de ir a comer y antes de beber, fumar,...?",Retained after internal-consistency analysis,high,
workers,3,retained_in_final_2015_annex1,3,WORKERS-F2015-003,¿La empresa dispone de un vestuario adecuado con duchas de agua caliente y fría?,Retained after internal-consistency analysis,high,
workers,4,retained_in_final_2015_annex1,4,WORKERS-F2015-004,"¿Usted dispone de 10 minutos para cambiarse de ropa y lavarse, antes y después de la jornada laboral?",Retained after internal-consistency analysis,high,
workers,5,retained_in_final_2015_annex1,5,WORKERS-F2015-005,"¿Usted se ducha después de la jornada de trabajo, antes de volver a casa?",Retained after internal-consistency analysis,high,
workers,6,retained_in_final_2015_annex1,6,WORKERS-F2015-006,¿Usted tiene disponible jabón antibacteriano?,Retained after internal-consistency analysis,high,
workers,7,retained_in_final_2015_annex1,7,WORKERS-F2015-007,¿La empresa les mantiene informados de los riesgos a los que se exponen cuando acceden a un área para realizar algún trabajo?,Retained after internal-consistency analysis,high,
workers,8,retained_in_final_2015_annex1,8,WORKERS-F2015-008,¿La empresa les prohíbe llevar a casa la ropa de trabajo para su lavado?,Retained after internal-consistency analysis,high,
workers,9,retained_in_final_2015_annex1,9,WORKERS-F2015-009,¿Del lavado de la ropa se encarga la empresa?,Retained after internal-consistency analysis,high,
workers,10,retained_in_final_2015_annex1,10,WORKERS-F2015-010,¿Dispone de un vestuario adecuado con taquillas dobles para evitar que la ropa de trabajo se mezcle con la ropa de calle?,Retained after internal-consistency analysis,high,
workers,11,retained_in_final_2015_annex1,11,WORKERS-F2015-011,¿En la empresa se dispone de material de cura y primeros auxilios?,Retained after internal-consistency analysis,high,
workers,12,retained_in_final_2015_annex1,12,WORKERS-F2015-012,¿Se cura las heridas ocasionadas en el transcurso de las tareas de manera inmediata?,Retained after internal-consistency analysis,high,
workers,13,retained_in_final_2015_annex1,13,WORKERS-F2015-013,¿Realiza una valoración del riesgo y se adoptan las protecciones adecuadas antes de efectuar cualquier trabajo?,Retained after internal-consistency analysis,high,
workers,14,retained_in_final_2015_annex1,14,WORKERS-F2015-014,¿Usted o la empresa desinfectan adecuadamente las herramientas de trabajo que puedan estar en contacto con material susceptible de estar contaminado?,Retained after internal-consistency analysis,high,
workers,15,retained_in_final_2015_annex1,15,WORKERS-F2015-015,¿Usa guantes de protección biológica (látex o análogo) cuando se mantiene contacto con material que pueda estar contaminado?,Retained after internal-consistency analysis,high,
workers,16,retained_in_final_2015_annex1,16,WORKERS-F2015-016,¿Usa pantallas de protección cuando se prevea que pueden producirse salpicaduras o protección de material contaminado?,Retained after internal-consistency analysis,high,
workers,17,retained_in_final_2015_annex1,17,WORKERS-F2015-017,¿Utiliza mascarillas cuando se prevé la formación de aerosoles o cuando se puedan producir salpicaduras?,Retained after internal-consistency analysis,high,
workers,18,retained_in_final_2015_annex1,18,WORKERS-F2015-018,¿Utiliza ropa de trabajo adecuada?,Retained after internal-consistency analysis,high,
workers,19,retained_in_final_2015_annex1,19,WORKERS-F2015-019,¿Recibe formación en el uso adecuado de los equipos de protección?,Retained after internal-consistency analysis,high,
workers,20,retained_in_final_2015_annex1,20,WORKERS-F2015-020,¿Lava y/o desinfecta los equipos de protección personal antes de guardarlos para su posterior uso?,Retained after internal-consistency analysis,high,
workers,21,retained_in_final_2015_annex1,21,WORKERS-F2015-021,¿Ha recibido formación respecto al riesgo biológico que pueden suponer determinadas tareas?,Retained after internal-consistency analysis,high,
workers,22,retained_in_final_2015_annex1,22,WORKERS-F2015-022,¿La empresa dispone de manuales o protocolos que definen cómo se realizan las tareas que implican riesgo con agentes biológicos?,Retained after internal-consistency analysis,high,
workers,23,retained_in_final_2015_annex1,23,WORKERS-F2015-023,¿Se han evitado los accidentes con los agentes biológicos?,Retained after internal-consistency analysis,high,
workers,24,retained_in_final_2015_annex1,24,WORKERS-F2015-024,¿Conoce las consignas en caso de accidente?,Retained after internal-consistency analysis,high,
workers,25,retained_in_final_2015_annex1,25,WORKERS-F2015-025,¿Se lava las manos durante la jornada laboral?,Retained after internal-consistency analysis,high,
workers,26,retained_in_final_2015_annex1,26,WORKERS-F2015-026,¿Se desinfecta periódicamente el lugar de trabajo?,Retained after internal-consistency analysis,high,
workers,27,retained_in_final_2015_annex1,27,WORKERS-F2015-027,"¿Existe en la empresa un control eficiente de las plagas (roedores, insectos…) en el lugar de trabajo?",Retained after internal-consistency analysis,high,
workers,28,retained_in_final_2015_annex1,28,WORKERS-F2015-028,¿Se realiza los reconocimientos médicos periódicos?,Retained after internal-consistency analysis,high,
workers,29,retained_in_final_2015_annex1,29,WORKERS-F2015-029,¿Existen en la empresa procedimientos específicos de limpieza y desinfección de las instalaciones?,Retained after internal-consistency analysis,high,
workers,30,retained_in_final_2015_annex1,30,WORKERS-F2015-030,"¿Se ha vacunado alguna vez del tétanos, gripe y/o hepatitis?",Retained after internal-consistency analysis,high,
workers,31,retained_in_final_2015_annex1,31,WORKERS-F2015-031,¿Se le ha informado de las ventajas e inconvenientes de la vacunación?,Retained after internal-consistency analysis,high,
workers,32,retained_in_final_2015_annex1,32,WORKERS-F2015-032,"Indique respondiendo si o no, si la siguiente afirmación es correcta, “No he sufrido ningún accidente en el que pudiera estar implicado algún agente biológico”.",Retained after internal-consistency analysis,high,
