blind_id,case_id,preventive_actions_score,preventive_actions_reason,traceability_coherence_score,traceability_coherence_reason,adjudicator_id,adjudication_status
ADJ087,ERBB-P03,,,,,,PENDING
ADJ088,ERBB-P03,,,,,,PENDING
ADJ089,ERBB-P01,,,,,,PENDING
ADJ090,ERBB-P01,,,,,,PENDING
ADJ091,ERBB-P02,,,,,,PENDING
ADJ092,ERBB-P02,,,,,,PENDING
ADJ093,ERBB-P03,,,,,,PENDING
ADJ094,ERBB-P03,,,,,,PENDING
ADJ095,ERBB-P01,,,,,,PENDING
ADJ096,ERBB-P03,,,,,,PENDING
ADJ097,ERBB-P03,,,,,,PENDING
ADJ098,ERBB-P03,,,,,,PENDING
ADJ099,ERBB-P02,,,,,,PENDING
