blind_id,case_id,preventive_actions_score,preventive_actions_reason,traceability_coherence_score,traceability_coherence_reason,adjudicator_id,adjudication_status
ADJ032,ERBB-P02,0.0,Preventive actions are generic and not linked to the eight actual failed controls.,4.0,Response is interpretable but omits even the calculable compliance result and leaves the deterministic assessment unresolved.,ADJUDICATOR_A,COMPLETED
ADJ033,ERBB-P01,5.0,"All failed-control IDs are linked, but actions are generic.",4.0,Core assessment is correct but denominator traceability is incomplete.,ADJUDICATOR_A,COMPLETED
ADJ034,ERBB-P03,5.0,"All 29 failed-control IDs are linked, but corrective actions remain generic.",4.0,"Core deterministic result is correct, but denominator and regulatory traceability are incomplete.",ADJUDICATOR_A,COMPLETED
ADJ035,ERBB-P02,0.0,Action only recommends reviewing eight unspecified items.,4.0,"Compliance and exposure are correct, but risk calculation remains unresolved.",ADJUDICATOR_A,COMPLETED
ADJ036,ERBB-P01,5.0,"All eight controls are correctly linked, but actions lack control-specific content.",8.0,Assessment is fully coherent and source-traceable.,ADJUDICATOR_A,COMPLETED
ADJ037,ERBB-P01,0.0,No preventive actions are provided.,4.0,"Compliance is correct, but resolvable classification and risk are left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ038,ERBB-P04,0.0,Actions are generic and not traceable to the failed controls.,0.0,"Materially inconsistent assessment: compliance is reported as 80% despite 12 compliant of 16 applicable items, with unsupported probability and conclusions.",ADJUDICATOR_A,COMPLETED
ADJ039,ERBB-P03,0.0,Action is generic and based on an incorrect biological-agent classification.,0.0,"Material errors affect regulatory group, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ040,ERBB-P04,0.0,No preventive actions are provided despite four failed controls in the case.,4.0,"Compliance denominator and 75% calculation are correct, but resolvable regulatory and risk elements are left unresolved and professional review is incorrectly required.",ADJUDICATOR_A,COMPLETED
ADJ041,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but the deterministic assessment is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ042,ERBB-P01,0.0,No preventive actions are provided.,4.0,"Compliance is correct, but the deterministic assessment is incompletely resolved.",ADJUDICATOR_A,COMPLETED
ADJ043,ERBB-P02,0.0,Actions only propose future identification and professional review.,4.0,"Base calculation is coherent, but deterministic risk fields remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ044,ERBB-P03,0.0,Actions are broad and not traceable to the 29 actual failures.,0.0,"Applicable/not-applicable counts, probability, GRB and risk class materially conflict with the reference.",ADJUDICATOR_A,COMPLETED
ADJ045,ERBB-P02,5.0,"Correct IDs are linked, but actions are generic.",4.0,"Core deterministic assessment is correct, but regulatory traceability is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ046,ERBB-P04,5.0,"All four failed-control IDs are correctly linked, but the repeated action 'review and correct failed control' is generic rather than control-specific.",8.0,Assessment is internally coherent and matches the reference values and failed-control structure.,ADJUDICATOR_A,COMPLETED
ADJ047,ERBB-P01,0.0,Actions are linked to correct IDs but do not semantically correspond to the actual failed controls.,4.0,"Numerical assessment is correct, but control-to-action traceability is defective.",ADJUDICATOR_A,COMPLETED
ADJ048,ERBB-P01,0.0,Generic untraceable action for eight unspecified failures.,4.0,Assessment remains interpretable but uses a non-canonical class and leaves risk unresolved.,ADJUDICATOR_A,COMPLETED
ADJ049,ERBB-P03,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are essentially correct, but the deterministic assessment remains unresolved.",ADJUDICATOR_A,COMPLETED
ADJ050,ERBB-P03,0.0,Actions are generic and not linked to the failed controls.,0.0,"Reference level, probability, GRB and risk class are materially incorrect.",ADJUDICATOR_A,COMPLETED
ADJ051,ERBB-P01,5.0,"Correct failed-control IDs are linked, but actions are generic.",4.0,"Core risk assessment is correct, but applicable/non-applicable counts are internally inconsistent.",ADJUDICATOR_A,COMPLETED
ADJ052,ERBB-P03,0.0,No preventive actions are provided despite correctly identifying all 29 failures.,8.0,"The deterministic assessment, failed controls and source basis are fully coherent and traceable.",ADJUDICATOR_A,COMPLETED
ADJ053,ERBB-P04,0.0,"Although failed-control IDs are correct, the associated actions do not correspond to the actual failed items and the explicit preventive action is generic.",4.0,"Main numerical assessment is correct, but control-to-action traceability is materially defective.",ADJUDICATOR_A,COMPLETED
ADJ054,ERBB-P02,0.0,Actions are generic and not tied to specific failed controls.,4.0,"Compliance and exposure are correct, but the risk assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ055,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Base calculation is correct, but deterministic classification and risk remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ056,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but the assessment is unnecessarily incomplete.",ADJUDICATOR_A,COMPLETED
ADJ057,ERBB-P03,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but the risk chain remains unresolved.",ADJUDICATOR_A,COMPLETED
ADJ058,ERBB-P01,5.0,"Correct IDs are linked, but actions are generic.",4.0,"Core assessment is correct, but regulatory traceability is incomplete.",ADJUDICATOR_A,COMPLETED
ADJ059,ERBB-P01,0.0,Preventive measures are generic and not tied to the actual failed controls.,0.0,"Material contradictions affect denominator, probability and risk assessment.",ADJUDICATOR_A,COMPLETED
ADJ060,ERBB-P04,0.0,No preventive actions are provided.,4.0,"Compliance calculation and denominator are correct, but the response incorrectly treats the regulatory/risk assessment as unresolved and requires professional review.",ADJUDICATOR_A,COMPLETED
ADJ061,ERBB-P03,0.0,No preventive actions are provided.,4.0,"Core deterministic result is correct, but n_not_applicable=29 is inconsistent with the reference.",ADJUDICATOR_A,COMPLETED
ADJ062,ERBB-P01,5.0,"All eight failed controls are correctly linked, but actions are generic.",8.0,Assessment is fully coherent and traceable to the reference.,ADJUDICATOR_A,COMPLETED
ADJ063,ERBB-P04,0.0,Actions are generic and are not linked to the four case-specific failed controls.,4.0,"Compliance and denominator handling are correct, but probability and regulatory uncertainty are unsupported and the case is incorrectly sent for professional review.",ADJUDICATOR_A,COMPLETED
ADJ064,ERBB-P04,0.0,Actions are generic and not linked to the failed controls.,0.0,"Material internal contradictions: n_applicable=48 despite 32 non-applicable items, while unresolved classification is combined with asserted probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ065,ERBB-P01,0.0,Generic actions are not traceable to actual failed controls.,0.0,"Material contradictions affect regulatory group, probability and risk class.",ADJUDICATOR_A,COMPLETED
ADJ066,ERBB-P02,0.0,Failed controls and actions are fabricated rather than traced to the actual questionnaire items.,0.0,"Material errors affect denominator, compliance class, probability, GRB and risk.",ADJUDICATOR_A,COMPLETED
ADJ067,ERBB-P03,0.0,No preventive actions are provided.,0.0,"Compliance is reversed to 60.42%, producing a material inconsistency with the case.",ADJUDICATOR_A,COMPLETED
ADJ068,ERBB-P03,0.0,Only a generic instruction to identify and correct the 29 failures is provided.,4.0,"Compliance and exposure are correct, but the deterministic assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ069,ERBB-P01,0.0,No preventive actions are provided.,4.0,Compliance is correct but the resolvable deterministic assessment is left unresolved.,ADJUDICATOR_A,COMPLETED
ADJ070,ERBB-P01,0.0,Action only proposes identifying the failed controls rather than providing control-specific measures.,4.0,Assessment is internally interpretable but incomplete relative to the reference.,ADJUDICATOR_A,COMPLETED
ADJ071,ERBB-P01,0.0,Actions are untraceable to the actual failed controls.,0.0,"An unsupported quantitative reference value and incorrect probability, GRB and risk class are introduced.",ADJUDICATOR_A,COMPLETED
ADJ072,ERBB-P03,0.0,No preventive actions are provided.,4.0,The response is interpretable but leaves the exposure field and all deterministic risk fields unresolved.,ADJUDICATOR_A,COMPLETED
ADJ073,ERBB-P03,0.0,Only a broad integral-review action is proposed.,4.0,"Compliance magnitude is correct and high probability is recognized, but the deterministic chain remains incomplete.",ADJUDICATOR_A,COMPLETED
ADJ074,ERBB-P01,0.0,Actions are generic and not linked to specific failed controls.,4.0,Base calculation is correct but the deterministic assessment is incompletely resolved.,ADJUDICATOR_A,COMPLETED
ADJ075,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but deterministic risk fields remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ076,ERBB-P01,0.0,Actions are generic and not linked to the actual failed controls.,0.0,"Material errors affect denominator, compliance class, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ077,ERBB-P02,5.0,"All eight failed controls are correctly linked, but actions remain generic.",8.0,Assessment is fully coherent and traceable to the reference.,ADJUDICATOR_A,COMPLETED
ADJ078,ERBB-P03,0.0,Actions are generic and not linked to the 29 failed controls.,4.0,The response recognizes deficient conditions and high probability qualitatively but leaves the deterministic result unresolved.,ADJUDICATOR_A,COMPLETED
ADJ079,ERBB-P03,0.0,Actions are broad and not item-specific.,4.0,"Compliance and exposure are correct, but probability, GRB and risk class remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ080,ERBB-P01,0.0,Actions are generic and not item-traceable.,0.0,"Response declares risk indeterminable while simultaneously assigning an unsupported probability, creating a material contradiction.",ADJUDICATOR_A,COMPLETED
ADJ081,ERBB-P02,5.0,"All eight failed controls are correctly linked, but actions remain generic.",8.0,Assessment is fully coherent and source-traceable.,ADJUDICATOR_A,COMPLETED
ADJ082,ERBB-P02,0.0,No preventive actions are provided.,4.0,"Compliance and exposure are correct, but deterministic risk assessment is left unresolved.",ADJUDICATOR_A,COMPLETED
ADJ083,ERBB-P01,0.0,Action proposes future identification of the eight failures rather than specific corrective measures.,4.0,Compliance is correct but deterministic classification and risk remain unresolved.,ADJUDICATOR_A,COMPLETED
ADJ084,ERBB-P01,0.0,Actions are generic and not traceable to individual failed controls.,0.0,An unsupported probability transformation leads to incorrect GRB and risk classification.,ADJUDICATOR_A,COMPLETED
ADJ085,ERBB-P01,0.0,Actions are broad and not linked to the eight identified failed controls.,4.0,Core risk assessment is correct but denominator fields are internally inconsistent.,ADJUDICATOR_A,COMPLETED
ADJ086,ERBB-P02,0.0,Actions are generic and the failed controls are not identified.,0.0,"Material contradictions affect regulatory minimum group, reference level, probability, GRB and risk class.",ADJUDICATOR_A,COMPLETED
ADJ087,ERBB-P03,5.0,"All 29 failed controls are individually linked, but actions remain generic.",4.0,"Risk class and probability are correct and source-traceable, but GRB and denominator fields are incomplete.",ADJUDICATOR_A,COMPLETED
ADJ088,ERBB-P03,0.0,Preventive actions are generic and not linked to specific failed controls.,4.0,"Compliance and exposure are correct, but classification and deterministic risk remain unresolved.",ADJUDICATOR_A,COMPLETED
ADJ089,ERBB-P01,0.0,Actions are generic and not linked to specific failed controls.,0.0,"Compliance class, probability, GRB and risk class materially contradict the reference.",ADJUDICATOR_A,COMPLETED
ADJ090,ERBB-P01,5.0,"All eight IDs are linked, but the corrective actions are generic.",4.0,"Core risk result is correct, but applicable/non-applicable counts and global-class representation are inconsistent.",ADJUDICATOR_A,COMPLETED
ADJ091,ERBB-P02,0.0,No preventive actions are provided despite eight correctly identified failures.,4.0,"Core assessment is correct, but applicable/non-applicable counts are internally inconsistent.",ADJUDICATOR_A,COMPLETED
ADJ092,ERBB-P02,5.0,"All eight IDs are linked, but actions are generic.",4.0,"Core P02 result is correct, but denominator fields and workplace-global representation are inconsistent.",ADJUDICATOR_A,COMPLETED
ADJ093,ERBB-P03,0.0,Action is generic and not traceable to actual failed controls.,0.0,Malformed structure and incompatible probability/risk values make the assessment materially incoherent.,ADJUDICATOR_A,COMPLETED
ADJ094,ERBB-P03,0.0,No preventive actions are provided despite correctly identifying all 29 failures.,8.0,The deterministic chain and failed-control traceability are fully coherent with the reference.,ADJUDICATOR_A,COMPLETED
ADJ095,ERBB-P01,0.0,The response describes the existence of eight failures but does not provide specific preventive actions.,4.0,"Compliance percentage is correct, but compliance class and deterministic risk assessment are incomplete.",ADJUDICATOR_A,COMPLETED
ADJ096,ERBB-P03,0.0,Actions are broad and not tied to specific failed controls.,4.0,"Compliance and exposure are correct, but the deterministic assessment remains unresolved.",ADJUDICATOR_A,COMPLETED
ADJ097,ERBB-P03,0.0,Only a generic instruction to correct failed measures is provided.,4.0,"Compliance and exposure are correct, but the risk chain remains unresolved.",ADJUDICATOR_A,COMPLETED
ADJ098,ERBB-P03,0.0,No preventive actions are provided.,0.0,"Although the main risk values are correct, n_not_applicable=29 and the claim that all 48 controls failed materially contradict the case data.",ADJUDICATOR_A,COMPLETED
ADJ099,ERBB-P02,0.0,Actions are generic and failed controls are not individually identified.,0.0,Unsupported probability and GRB calculations produce an incorrect risk class.,ADJUDICATOR_A,COMPLETED
